test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
1533,95,0,1550469,663246,1598637,1227980
1534,95,0,31154,28381,10001,25057
1535,95,0,29475,112,74981,11420
1536,95,0,36396,91,60413,11972
1537,95,0,0,29,1,29
1538,95,0,1823118,1253611,314831,2166435
1539,95,0,800810,111366,1450186,1201409
1580,102,0,1200,193,846,90123
1581,102,0,1678476,86375,992044,200195
1582,103,0,12667,523,17476,772
1583,103,0,1344,21267,23292,23827
1584,103,0,6723,112,49152,942
1585,103,0,7356,658,13080,1796231
1586,103,0,466286,360,242902,6071
1587,103,0,477,595,2000219,1983126
1625,110,82,522,154,7931,8808
1626,110,82,1532,787,1941,4821
1627,110,82,800,1149759,4104,113195
1628,110,82,15861,148487,6187,763294
1629,110,82,145,1284,818,347
1630,110,82,44137,176147,123671,61535
1631,110,82,106,86,41464,3364
1632,110,82,797691,829302,1732739,1226736
1633,110,82,246,25,250,310
1634,110,82,88255,117,735067,17565
1635,110,82,1455142,92347,1020395,83465
1636,110,82,67358,1735107,178494,14853
1651,113,67,4424,322,357,227
1652,113,67,7883,124,470640,1218
1653,113,67,74969,580,194,86
1663,115,16,3315,322,21151,1485
1664,115,16,10821,25,127786,30232
1665,115,16,8360,50,46519,4290
1666,115,16,1826089,712,531627,1351
1667,115,16,1356181,2629,1375162,689488
1671,117,3,2287,241,894,748555
1672,117,3,1366513,842859,1828130,1444890
1673,117,3,57789,655,53452,22437
1674,117,3,2263679,1112380,2037820,1366314
1675,117,3,198236,714,152332,1053
1676,118,14,968,531801,150048,1094081
1677,118,14,5334,3735,27893,1421998
1678,118,14,4374,68579,247380,1796247
1679,118,14,1952280,1470868,1579271,1840454
1680,119,6,235,16,4394,41
1681,119,6,7494,80404,1870,4537
1682,119,6,406900,300323,25226,148488
1683,119,6,1960493,1400,1693,29
1694,121,0,6643,48,35029,9336
1695,121,0,11193,34,159310,12600
1696,121,0,986,1,22924,12047
1697,121,0,28140,36,2124529,16282
1698,121,0,195471,47,281733,28987
1699,121,0,342730,704843,403333,863081
1700,121,0,224737,41,970434,16384
1701,121,0,721491,606452,1804468,1210785
1702,121,0,1583401,1493681,1363817,1013056
1703,121,0,191658,2326,567216,1182683
1713,123,5,36,2,8458,26316
1714,123,5,2823,4169,14942,2708
1715,123,5,3915,80,3438,21676
1716,123,5,25,109,34286,16528
1717,123,5,105071,47097,45515,448480
1718,123,5,40185,49,916,37363
1719,123,5,3565,3320,13653,13305
1720,123,5,88811,125373,1977654,508492
1721,123,5,1940863,188,917503,830697
1722,123,5,1693699,42585,1147035,1132850
1723,124,54,365,44,670,3
1724,124,54,1424,2771,408,1295
1725,124,54,830,7892,2653,3313
1726,124,54,339,226,146,77
1727,124,54,106,771,211,318
1728,124,54,2311,141,3929,139
1729,124,54,931806,4291,719128,868
1730,124,54,500933,1869798,136734,1313694
1731,124,54,422987,10323,256407,535
1745,127,74,69,6,147,113530
1746,127,74,2885,143282,212407,444401
1754,130,43,50338,1211604,822463,1550887
1755,130,43,1039748,996656,419542,237117
1756,130,43,400,1235,157,8921
1757,130,43,35686,5193,14410,2583
1758,130,43,232,964129,699,176553
1759,130,43,2254258,1587325,2256054,1730079
1826,145,6,664406,725683,12984,6783
1827,145,6,93291,3940,147570,15301
1828,145,6,22852,3205,124311,2897
1829,145,6,2262,1018,8753,5709
1830,145,6,196,2521,110,2655
1838,147,32,326,112832,2100,1747598
1839,147,32,22677,1967,86901,9383
1840,148,108,131,712,1150,5851
1841,148,108,334,40,1385,11877
1842,148,108,0,2,43452,19443
1843,148,108,2047456,35984,1768309,46593
1859,152,0,84,125,426,290156
1860,152,0,2887,32,7187,11105
1861,152,0,1565,10212,23166,57863
1862,152,0,3301,400,3503,47351
1863,152,0,49785,66,889629,94364
1864,152,0,7670,68,80036,760223
1883,156,149,542,885,578,44712
1884,156,149,63,872,1623310,1004670
1885,156,149,67,28,1816161,1377361
1886,156,149,132,144,1472994,339360
1887,157,0,19,9266,25,12
1888,157,0,17060,1461,107641,50985
1889,157,0,1003393,33657,8252,290113
1890,157,0,2195414,2080276,1839289,1970200
1891,157,0,835694,40460,261616,20503
1892,158,54,8887,715912,372,36787
1893,158,54,5140,337,9351,35339
1894,158,54,50297,381759,58815,184413
1895,158,54,1887649,978610,1712643,849605
1896,159,106,149,8,1128,14020
1897,159,106,970250,16859,638994,998801
1898,159,106,30675,3924,24354,7009
1899,159,106,8456,365,1290,39994
1904,161,23,11055,1592,777914,35575
1905,161,23,135715,19,724152,141650
1906,162,24,10289,935,2342,3618
1907,162,24,22261,717954,1233,559
1908,162,24,87521,4969,913794,1385662
1909,163,54,370,2557,1621,10143
1910,163,54,370596,769942,532909,378725
1911,163,54,2554,20287,4044,157916
1912,163,54,72266,13275,472,2437
1913,163,54,494417,78792,385858,1445364
1914,163,54,461005,1657455,633506,1813765
1917,165,1,222,5,602,955
1918,165,1,107,15,105,1488
1919,165,1,588,284,674,9495
1920,165,1,432,49,263,970
1921,165,1,150631,1253309,1466608,1396129
1932,169,62,1430872,13762,1677894,13414
1945,174,82,396,21433,3258,44757
1946,174,82,86423,1034,35571,46159
1947,174,82,1458510,263336,2123129,727534
1948,174,82,127719,6495,93992,11135
1949,174,82,1040162,974638,1436783,1803435
1963,179,3,264478,786918,2090387,1776060
1964,179,3,2120834,544584,1949320,1152512
1965,179,3,1597430,668854,1703609,780057
1966,180,74,83,475,135,899
1967,180,74,171,353,29,111
1968,180,74,71453,271,26755,7493
1969,180,74,112642,171580,415799,777291
1970,180,74,15244,636,18925,1254
1975,184,122,514,451,548,334
1976,184,122,105297,217,21615,125
1977,184,122,9326,204,18213,1687
1978,184,122,590400,1226749,1212208,1405534
1984,186,149,46016,11,2088303,604415
1990,188,120,1601956,1376558,1626984,806666
1991,188,120,13074,57953,414345,86409
1992,188,120,15646,8636,41961,1636377
1993,188,120,131918,24,4015,131990
1994,189,8,3284,1682,11952,1656651
1995,189,8,515344,10076,20169,9487
1996,190,12,76319,6,15565,36648
1997,190,12,89602,5,14419,21245
1998,190,12,2703,685,9495,31566
1999,190,12,163357,28,260832,572013
2018,195,155,23251,20065,15147,50088
2019,195,155,956,7924,887562,128637
2020,195,155,233021,305,386285,2558
2034,200,143,25,433,290,1565
2035,200,143,7550,25,699,132
2036,200,143,25100,5217,1813,744
2037,200,143,230367,1943024,81318,1995464
2038,200,143,585551,2208378,1337488,2168048
2039,200,143,1976677,2121217,2039073,1757110
2040,200,143,11726,0,71,0
2041,200,143,239,63,20,20
2042,201,61,280,72,439,233
2043,201,61,3132,109154,1674,8517
2044,201,61,577,6018,429,6300
2045,201,61,844841,1088909,102224,626384
2046,201,61,6678,1340,7974,1598
2047,201,61,25028,202,381757,466
2048,202,54,10555,8989,9088,85166
2049,202,54,535814,214181,1160932,2164713
2054,205,2,8434,4570,12918,36661
2055,205,2,27390,11,32455,6147
2056,205,2,209048,380,398271,236655
2057,205,2,418320,2162,916699,827326
2068,210,19,1518,3229,110658,854254
2069,210,19,27,1762,496,173888
2070,210,19,78249,65497,51674,1306642
2071,210,19,8968,157150,17071,2060535
2072,210,19,43277,2444,5588,1123153
2079,213,196,99,151,916,26295
2080,213,196,189844,338,732449,83978
2081,213,196,1038400,727998,1362466,1380488
2092,216,79,5081,360180,6397,3149
2093,216,79,82,0,546,5
2094,216,79,2157216,1228232,1087491,1042732
2097,219,97,1344741,599106,1499140,538172
2098,219,97,1140,91,279323,26536
2099,219,97,272372,566,1933506,1500160
2100,219,97,348,98860,1212615,214265
2101,219,97,1502961,1110852,1035631,1935354
2105,221,108,1392,4176,2457,40792
2106,221,108,224052,16598,1489321,80505
2108,223,134,7655,0,1306999,323757
2109,223,134,455,0,2201539,411160
2110,223,134,3615,0,2213066,228488
2111,223,134,326,0,2228900,1141339
2112,223,134,3675,1,2200551,1858738
2113,224,40,1,12663,5364,445997
2114,224,40,0,5160,1945,670835
2115,224,40,1,255837,3524,418473
2116,224,40,1,158488,11374,764906
2117,224,40,0,91055,3835,568721
2118,224,40,1,177865,2359,105842
2121,227,98,900,27,11931,35933
2122,227,98,793790,66220,1801476,1922604
2159,238,82,4708,229,2385,2959
2160,238,82,1994615,1589728,1696465,1289842
2161,238,82,11,50763,4080,15314
2162,238,82,934,9938,9604,981833
2185,244,46,1264,76,4032,255
2186,244,46,11607,85,21334,105
2187,244,46,5528,13969,2113,360
2188,244,46,5797,788,46900,1351
2189,244,46,21035,19381,3490,688
2190,244,46,7548,46,15590,72
2191,244,46,24004,163,132588,956
2192,244,46,675932,12821,2260980,77567
2193,244,46,314267,67455,971597,451610
2194,244,46,1572373,59272,274762,88964
2195,245,74,1226,750852,704005,765658
2196,248,82,5246,2,65240,37839
2197,248,82,2077593,1257754,1736885,1886186
2201,251,0,158654,90810,73318,18949
2202,251,0,900,9,440,8
2203,251,0,586017,796066,195295,991586
2204,251,0,803922,148321,1340376,14745
2207,253,173,86,2451,26,2990
2208,253,173,1085401,1531973,1612020,804729
2209,253,173,2213538,2000549,1611019,1443081
2210,253,173,2028795,663755,2200118,369219
2214,255,32,110030,165395,3608,860
2216,257,154,364,23,2831,57692
2217,257,154,1670,706,10244,78339
2218,258,240,2,490,147034,609538
2219,258,240,844,332816,10065,770774
2220,258,240,933698,1085372,101718,1333716
2221,259,109,498,132,1475011,3815
2222,259,109,55034,271,2052890,75381
2223,259,109,1001307,2019,1278526,317330
2227,261,183,255370,37742,1016556,783302
2228,262,12,188,972,970,0
2229,262,12,344681,1246,287137,3561
2242,265,241,11814,142,4127,2208
2243,265,241,22348,32,3573,1848
2244,266,93,209,10147,35346,130811
2245,266,93,6929,259,1941,2946
2246,266,93,336012,1586992,188403,1328010
2247,266,93,596736,1032,364025,46408
2248,266,93,334624,8182,1743690,81595
2256,269,12,55837,27531,12009,1032
2257,269,12,762356,1610877,42405,880886
2258,269,12,241573,116073,91829,10665
2265,271,173,1046,74,3487,17101
2266,271,173,30459,132155,8524,42916
2267,272,7,891,3077,900,12711
2268,272,7,2214593,211419,2229657,77246
2269,274,20,68,887,4205,203121
2270,274,20,841,3,949,78
2271,274,20,6,5,97,42
2272,274,20,117,13,49,12
2273,274,20,419277,1797182,1756330,1657015
2274,274,20,666,192,54462,5203
2275,274,20,32384,312364,156154,721330
2276,274,20,278475,2060928,197509,1753146
2292,278,167,9793,988721,1043,175035
2293,278,167,2201891,921611,89307,55993
2294,278,167,694685,594638,320013,1435388
2302,281,58,1735,20153,14360,1062241
2303,281,58,692899,1490624,675374,1704882
2304,283,0,2139,4514,7747,110754
2305,283,0,6842,37668,137146,60427
2306,283,0,33880,9262,2466,92824
2307,284,146,30757,24086,250739,40439
2308,284,146,73,27535,5456,13087
2309,284,146,335,24,93368,44033
2310,284,146,1051753,2243361,1605750,1614338
2311,284,146,662293,96926,1469508,1080573
2312,285,240,1822,96,1336,348
2313,285,240,2211,4476,226,4426
2314,285,240,32815,1276,349497,206935
2315,285,240,375045,511,1961556,150485
2316,286,194,2820,4538,3262,9962
2317,286,194,317923,246698,8183,25167
2318,286,194,1185954,1018090,1589571,749796
2319,286,194,94517,666,879373,5639
2331,290,0,591,1869,4724,16389
2332,290,0,1156308,1953833,1210891,1937780
2333,290,0,1743333,1541271,1348721,1035853
2334,290,0,1692535,1204760,192772,1805231
2342,294,230,35201,332,56024,123
2343,294,230,4322,3,85219,1
2344,294,230,36354,3,91178,11
2345,294,230,342680,618532,163941,647315
2358,298,82,1675,47170,454084,1610083
2359,299,109,586,122737,2036508,1969586
2360,299,109,80530,4575,1814848,623237
2361,300,125,2189,107,5156,4313
2362,300,125,1117071,721663,199379,1698626
2363,301,79,161,756,184,2299
2364,301,79,1501,707,2643,588
2365,301,79,605,9683,252,12883
2366,301,79,332091,887887,423700,497443
2367,301,79,515179,554968,451401,1418164
2368,302,6,228714,293,724235,3377
2369,302,6,707324,4935,838648,480303
2370,303,54,11154,24,309994,58292
2371,303,54,1568632,64639,1542273,569993
2372,303,54,4398,11269,17815,335796
2373,303,54,835941,14804,2025603,145202
2374,303,54,1311739,369283,1209469,635867
2384,309,203,1373,1064,2605,12070
2385,309,203,101421,122,1718920,68994
2386,310,153,19,272,2361,26049
2387,310,153,487,18400,24299,183694
2388,310,153,1338908,298663,1726713,566841
2389,311,28,18,4,167208,139456
2390,311,28,8818,459,129474,157220
2391,311,28,65472,16712,51382,27722
2392,312,43,641,0,1786,8128
2393,312,43,297,19,7779,263446
2394,312,43,36461,3633,15978,946908
2395,312,43,12979,97,26128,1762698
2396,312,43,1185039,2151383,1427823,2210867
2397,313,6,1957,561,1176,1298
2398,313,6,6479,4,20897,39
2399,315,177,1150977,440595,211500,324201
2400,317,297,30925,85915,6228,102605
2401,317,297,36328,498492,105591,56281
2402,317,297,16806,593,12482,2921
2408,321,254,21556,434751,3021,1382147
2409,321,254,2167,610,1066,16130
2410,321,254,17271,663,507030,117286
2411,321,254,13169,266,30379,385
2412,322,136,2701,32285,4094,69187
2413,322,136,153042,42683,67131,273223
2414,322,136,65389,205,142611,36379
2415,323,0,1,187,26387,1931
2416,323,0,0,2754,27759,113672
2417,323,0,0,7773,46909,56508
2418,323,0,1,42729,54944,534071
2419,323,0,41,1743392,129020,376010
2420,323,0,1310045,634882,1469693,1249311
2425,325,80,10667,1060,29808,284429
2426,325,80,568790,357027,1635383,78357
2427,325,80,671122,22445,145084,617063
2428,326,150,18,1309,35,3239
